event_type,duration,engagement_level,text_data,location,time_of_day,overloaded
Commute,90,3,Brainstorming new ideas,Gym,Morning,0
Break,12,1,Focused reading session,Outdoor,Morning,0
Social Interaction,60,4,Public speaking event,Outdoor,Evening,1
Exercise,120,1,Deep work session,Home,Afternoon,0
Casual Lunch,120,5,Strategic planning,Home,Morning,1
Social Interaction,30,3,Casual dinner conversation,Outdoor,Morning,0
Break,75,4,Daily long commute,Home,Morning,1
Exercise,60,5,Public speaking event,Gym,Evening,1
Meeting,60,4,Solo reflection time,Home,Morning,1
Social Interaction,75,5,Intense workout session,Outdoor,Morning,1
Social Interaction,120,1,Casual online chat,Home,Morning,0
Break,75,1,Board meeting with executives,Office,Evening,0
Social Interaction,45,5,Client negotiation meeting,Office,Morning,1
Break,20,2,Gym session with trainer,Office,Morning,0
Casual Lunch,90,5,Lunch meeting with potential clients,Gym,Evening,1
Exercise,30,4,Lunch meeting with potential clients,Gym,Morning,0
Exercise,120,5,Solo reflection time,Gym,Afternoon,1
Exercise,30,4,Casual online chat,Gym,Afternoon,0
Casual Lunch,60,5,Brainstorming new ideas,Office,Afternoon,1
Meeting,75,4,Engaging lecture,Outdoor,Evening,1
Social Interaction,60,5,Deep work session,Home,Morning,1
Social Interaction,90,4,Discuss project details,Home,Evening,1
Meeting,60,5,Solo reflection time,Outdoor,Evening,1
Break,75,1,Casual dinner conversation,Outdoor,Evening,0
Meeting,60,4,Customer support call,Home,Morning,1
Social Interaction,60,5,Coding session,Home,Afternoon,1
Casual Lunch,75,4,Quick coffee break,Gym,Evening,1
Commute,20,2,Quick coffee break,Office,Afternoon,0
Meeting,75,4,Lunch meeting with potential clients,Gym,Morning,1
Meeting,120,5,Solo reflection time,Gym,Afternoon,1
Break,60,2,Stressful work deadline,Outdoor,Evening,0
Social Interaction,30,2,Team-building activity,Outdoor,Evening,0
Casual Lunch,90,5,Lunch meeting with potential clients,Home,Afternoon,1
Exercise,15,1,Casual online chat,Outdoor,Evening,0
Exercise,75,2,Casual online chat,Office,Morning,0
Social Interaction,60,5,Solo reflection time,Office,Afternoon,1
Social Interaction,120,5,Went for a long walk,Office,Morning,1
Social Interaction,90,4,Stressful work deadline,Home,Morning,1
Meeting,60,5,Casual dinner conversation,Gym,Afternoon,1
Casual Lunch,75,2,Discuss project details,Home,Morning,0
Break,20,3,Team-building activity,Office,Evening,0
Break,45,5,Customer support call,Outdoor,Evening,1
Exercise,45,1,Public speaking event,Home,Morning,0
Commute,120,4,Customer support call,Office,Evening,1
Commute,120,1,Intense workout session,Home,Evening,0
Exercise,30,2,Casual online chat,Outdoor,Morning,0
Meeting,60,1,Chat with close friends,Office,Morning,0
Break,30,4,Social gathering,Home,Morning,0
Social Interaction,12,2,Intense workout session,Gym,Morning,0
Exercise,90,5,Coding session,Outdoor,Morning,1
Casual Lunch,90,4,Outdoor adventure,Outdoor,Morning,1
Meeting,90,4,Discuss project details,Gym,Afternoon,1
Meeting,75,4,Team-building activity,Gym,Morning,1
Casual Lunch,60,2,Lunch meeting with potential clients,Home,Evening,0
Break,45,4,Solo reflection time,Gym,Afternoon,1
Commute,30,5,Daily long commute,Office,Evening,0
Meeting,120,5,Gym session with trainer,Outdoor,Afternoon,1
Exercise,90,5,Relaxing with family,Home,Evening,1
Break,120,3,Brainstorming new ideas,Office,Afternoon,0
Commute,75,5,Strategic planning,Office,Evening,1
Break,60,4,Presentation preparation,Outdoor,Afternoon,1
Exercise,90,5,Solo reflection time,Office,Morning,1
Break,30,4,Chat with close friends,Gym,Morning,0
Social Interaction,20,1,Customer support call,Office,Morning,0
Exercise,75,2,Focused reading session,Office,Morning,0
Commute,60,5,Relaxing with family,Gym,Morning,1
Meeting,30,5,Lunch meeting with potential clients,Office,Morning,0
Social Interaction,30,4,Engaging lecture,Outdoor,Morning,0
Meeting,120,2,Deep work session,Home,Afternoon,0
Exercise,15,4,Board meeting with executives,Gym,Morning,0
Casual Lunch,45,4,Intense workout session,Gym,Evening,1
Social Interaction,45,2,Discuss project details,Gym,Morning,0
Casual Lunch,45,5,Daily long commute,Gym,Evening,1
Casual Lunch,12,5,Relaxing with family,Office,Morning,0
Break,15,2,Gym session with trainer,Outdoor,Evening,0
Exercise,75,4,Social gathering,Outdoor,Morning,1
Meeting,120,4,Gym session with trainer,Outdoor,Morning,1
Break,120,2,Stressful work deadline,Outdoor,Morning,0
Break,120,4,Stressful work deadline,Office,Morning,1
Social Interaction,45,4,Intense workout session,Outdoor,Evening,1
Exercise,45,2,Lunch meeting with potential clients,Outdoor,Evening,0
Break,20,1,Team-building activity,Home,Morning,0
Social Interaction,60,1,Customer support call,Outdoor,Afternoon,0
Exercise,75,5,Casual online chat,Gym,Morning,1
Casual Lunch,75,5,Team-building activity,Gym,Morning,1
Commute,12,4,Chat with close friends,Home,Evening,0
Social Interaction,45,5,Solo reflection time,Home,Evening,1
Break,15,2,Daily long commute,Outdoor,Morning,0
Exercise,45,4,Deep work session,Office,Evening,1
Commute,120,3,Brainstorming new ideas,Outdoor,Evening,0
Commute,12,3,Customer support call,Home,Afternoon,0
Break,120,4,Went for a long walk,Home,Afternoon,1
Break,75,2,Lunch meeting with potential clients,Home,Morning,0
Meeting,120,4,Deep work session,Office,Afternoon,1
Commute,20,1,Gym session with trainer,Outdoor,Afternoon,0
Exercise,90,4,Public speaking event,Office,Afternoon,1
Casual Lunch,60,5,Discuss project details,Outdoor,Morning,1
Commute,12,5,Chat with close friends,Office,Morning,0
Meeting,45,4,Meditation and relaxation,Home,Morning,1
Break,120,3,Strategic planning,Home,Morning,0
Break,90,1,Daily long commute,Outdoor,Evening,0
Casual Lunch,90,5,Lunch meeting with potential clients,Gym,Afternoon,1
Meeting,75,2,Focused reading session,Outdoor,Morning,0
Meeting,120,4,Intense workout session,Gym,Afternoon,1
Commute,75,4,Brainstorming new ideas,Office,Afternoon,1
Exercise,75,5,Board meeting with executives,Gym,Afternoon,1
Meeting,120,5,Presentation preparation,Office,Afternoon,1
Exercise,75,1,Relaxing with family,Home,Evening,0
Casual Lunch,75,4,Casual online chat,Office,Afternoon,1
Commute,75,5,Focused reading session,Outdoor,Morning,1
Social Interaction,60,5,Strategic planning,Home,Evening,1
Social Interaction,15,5,Solo reflection time,Outdoor,Morning,0
Break,120,4,Engaging lecture,Office,Morning,1
Exercise,20,2,Chat with close friends,Office,Morning,0
Meeting,75,4,Focused reading session,Outdoor,Evening,1
Commute,75,4,Meditation and relaxation,Office,Morning,1
Meeting,120,4,Client negotiation meeting,Gym,Morning,1
Social Interaction,20,3,Customer support call,Outdoor,Morning,0
Commute,45,5,Went for a long walk,Gym,Evening,1
Social Interaction,20,1,Casual online chat,Outdoor,Afternoon,0
Break,90,4,Stressful work deadline,Outdoor,Evening,1
Commute,12,1,Brainstorming new ideas,Home,Morning,0
Break,45,1,Stressful work deadline,Gym,Morning,0
Social Interaction,12,2,Late-night project work,Outdoor,Afternoon,0
Break,15,4,Daily long commute,Home,Afternoon,0
Meeting,60,5,Strategic planning,Office,Morning,1
Break,20,3,Team-building activity,Office,Afternoon,0
Break,15,5,Outdoor adventure,Outdoor,Afternoon,0
Break,12,4,Solo reflection time,Home,Morning,0
Social Interaction,15,2,Public speaking event,Office,Afternoon,0
Social Interaction,45,4,Strategic planning,Home,Afternoon,1
Commute,15,1,Daily long commute,Outdoor,Morning,0
Break,45,5,Networking with professionals,Office,Evening,1
Meeting,45,3,Engaging lecture,Home,Morning,0
Commute,12,3,Quick coffee break,Outdoor,Evening,0
Commute,120,5,Board meeting with executives,Gym,Evening,1
Meeting,30,4,Board meeting with executives,Office,Morning,0
Meeting,75,4,Coding session,Office,Morning,1
Casual Lunch,120,4,Lunch meeting with potential clients,Office,Afternoon,1
Casual Lunch,45,5,Client negotiation meeting,Office,Afternoon,1
Casual Lunch,75,4,Gym session with trainer,Gym,Morning,1
Exercise,75,2,Quick coffee break,Gym,Morning,0
Commute,60,2,Networking with professionals,Home,Evening,0
Social Interaction,45,4,Presentation preparation,Gym,Morning,1
Break,12,3,Engaging lecture,Office,Evening,0
Social Interaction,120,5,Engaging lecture,Office,Morning,1
Meeting,75,5,Casual online chat,Gym,Morning,1
Exercise,12,3,Networking with professionals,Gym,Afternoon,0
Exercise,20,2,Gym session with trainer,Home,Morning,0
Casual Lunch,45,3,Meditation and relaxation,Home,Morning,0
Casual Lunch,90,2,Focused reading session,Gym,Morning,0
Social Interaction,120,1,Customer support call,Gym,Afternoon,0
Exercise,45,5,Lunch meeting with potential clients,Gym,Afternoon,1
Exercise,75,3,Team-building activity,Home,Evening,0
Casual Lunch,45,3,Went for a long walk,Gym,Morning,0
Casual Lunch,12,4,Brainstorming new ideas,Outdoor,Evening,0
Exercise,12,2,Lunch meeting with potential clients,Outdoor,Morning,0
Social Interaction,20,3,Discuss project details,Office,Afternoon,0
Casual Lunch,75,4,Social gathering,Home,Morning,1
Exercise,75,3,Solo reflection time,Office,Afternoon,0
Social Interaction,45,4,Intense workout session,Home,Evening,1
Social Interaction,20,1,Relaxing with family,Gym,Afternoon,0
Casual Lunch,120,2,Outdoor adventure,Home,Morning,0
Exercise,20,1,Presentation preparation,Outdoor,Afternoon,0
Exercise,90,4,Focused reading session,Home,Evening,1
Exercise,15,5,Stressful work deadline,Office,Afternoon,0
Exercise,60,1,Customer support call,Home,Afternoon,0
Casual Lunch,60,5,Solo reflection time,Gym,Morning,1
Exercise,20,1,Quick coffee break,Gym,Afternoon,0
Exercise,90,5,Public speaking event,Home,Afternoon,1
Social Interaction,60,2,Went for a long walk,Office,Morning,0
Exercise,60,2,Public speaking event,Gym,Afternoon,0
Exercise,120,1,Daily long commute,Outdoor,Evening,0
Meeting,60,2,Chat with close friends,Outdoor,Evening,0
Casual Lunch,75,2,Board meeting with executives,Gym,Morning,0
Casual Lunch,45,5,Solo reflection time,Home,Morning,1
Break,45,3,Casual online chat,Outdoor,Morning,0
Casual Lunch,120,5,Public speaking event,Office,Morning,1
Commute,75,5,Solo reflection time,Home,Morning,1
Meeting,45,5,Lunch meeting with potential clients,Home,Morning,1
Exercise,30,3,Late-night project work,Outdoor,Morning,0
Commute,30,1,Deep work session,Office,Morning,0
Meeting,90,5,Quick coffee break,Home,Afternoon,1
Exercise,12,3,Casual online chat,Gym,Evening,0
Meeting,75,4,Intense workout session,Outdoor,Morning,1
Casual Lunch,60,5,Focused reading session,Home,Evening,1
Social Interaction,60,4,Lunch meeting with potential clients,Home,Evening,1
Commute,60,4,Public speaking event,Outdoor,Morning,1
Exercise,12,2,Quick coffee break,Outdoor,Morning,0
Break,90,3,Board meeting with executives,Office,Evening,0
Commute,120,4,Quick coffee break,Office,Morning,1
Exercise,75,4,Coding session,Gym,Evening,1
Break,90,4,Late-night project work,Office,Morning,1
Break,12,5,Stressful work deadline,Home,Evening,0
Exercise,120,3,Public speaking event,Office,Morning,0
Break,15,3,Solo reflection time,Outdoor,Morning,0
Exercise,45,2,Relaxing with family,Outdoor,Afternoon,0
Social Interaction,120,5,Chat with close friends,Gym,Afternoon,1
Meeting,15,5,Intense workout session,Outdoor,Morning,0
Social Interaction,12,1,Outdoor adventure,Outdoor,Morning,0
Exercise,45,4,Client negotiation meeting,Office,Afternoon,1
Social Interaction,15,1,Brainstorming new ideas,Office,Morning,0
Exercise,75,3,Discuss project details,Office,Morning,0
Meeting,75,2,Board meeting with executives,Gym,Afternoon,0
Social Interaction,120,4,Focused reading session,Home,Morning,1
Casual Lunch,90,2,Relaxing with family,Outdoor,Morning,0
Commute,120,1,Casual dinner conversation,Office,Morning,0
Break,45,5,Social gathering,Office,Morning,1
Commute,12,3,Networking with professionals,Outdoor,Morning,0
Exercise,90,3,Solo reflection time,Outdoor,Morning,0
Exercise,60,5,Team-building activity,Office,Morning,1
Commute,90,2,Late-night project work,Home,Afternoon,0
Commute,15,3,Strategic planning,Home,Afternoon,0
Casual Lunch,75,1,Stressful work deadline,Outdoor,Morning,0
Exercise,60,1,Outdoor adventure,Gym,Morning,0
Meeting,75,4,Quick coffee break,Gym,Morning,1
Social Interaction,45,5,Networking with professionals,Home,Evening,1
Commute,60,1,Casual online chat,Office,Evening,0
Meeting,60,5,Engaging lecture,Outdoor,Morning,1
Meeting,75,2,Networking with professionals,Office,Morning,0
Exercise,12,4,Board meeting with executives,Home,Afternoon,0
Casual Lunch,30,2,Outdoor adventure,Home,Morning,0
Commute,120,1,Lunch meeting with potential clients,Gym,Morning,0
Social Interaction,60,5,Meditation and relaxation,Gym,Afternoon,1
Commute,60,4,Stressful work deadline,Office,Afternoon,1
Exercise,75,5,Meditation and relaxation,Home,Morning,1
Break,75,5,Focused reading session,Office,Morning,1
Social Interaction,120,5,Social gathering,Outdoor,Evening,1
Meeting,30,1,Relaxing with family,Office,Afternoon,0
Exercise,90,5,Public speaking event,Home,Morning,1
Meeting,90,2,Presentation preparation,Outdoor,Morning,0
Meeting,15,5,Lunch meeting with potential clients,Gym,Morning,0
Exercise,20,1,Lunch meeting with potential clients,Gym,Afternoon,0
Casual Lunch,90,4,Social gathering,Gym,Afternoon,1
Meeting,60,5,Presentation preparation,Outdoor,Morning,1
Commute,75,1,Deep work session,Gym,Afternoon,0
Commute,15,1,Deep work session,Office,Morning,0
Social Interaction,120,2,Team-building activity,Gym,Morning,0
Commute,120,5,Discuss project details,Gym,Evening,1
Social Interaction,75,4,Late-night project work,Gym,Morning,1
Meeting,20,1,Gym session with trainer,Outdoor,Morning,0
Meeting,20,1,Meditation and relaxation,Outdoor,Morning,0
Exercise,30,5,Daily long commute,Office,Evening,0
Exercise,60,3,Casual dinner conversation,Home,Morning,0
Commute,90,5,Stressful work deadline,Home,Morning,1
Social Interaction,30,2,Went for a long walk,Outdoor,Morning,0
Meeting,90,5,Daily long commute,Gym,Morning,1
Casual Lunch,45,4,Casual online chat,Home,Evening,1
Casual Lunch,120,1,Relaxing with family,Home,Afternoon,0
Meeting,90,2,Solo reflection time,Office,Evening,0
Exercise,120,5,Networking with professionals,Gym,Afternoon,1
Commute,90,5,Outdoor adventure,Outdoor,Evening,1
Meeting,30,1,Customer support call,Gym,Evening,0
Break,45,1,Networking with professionals,Gym,Afternoon,0
Commute,120,1,Stressful work deadline,Office,Afternoon,0
Break,30,3,Coding session,Home,Afternoon,0
Commute,45,5,Gym session with trainer,Gym,Afternoon,1
Exercise,90,4,Social gathering,Outdoor,Morning,1
Meeting,12,3,Intense workout session,Gym,Morning,0
Meeting,45,3,Lunch meeting with potential clients,Gym,Evening,0
Meeting,60,4,Casual dinner conversation,Outdoor,Morning,1
Break,75,4,Meditation and relaxation,Office,Morning,1
Social Interaction,45,1,Gym session with trainer,Home,Evening,0
Meeting,45,2,Solo reflection time,Gym,Evening,0
Social Interaction,120,4,Lunch meeting with potential clients,Home,Morning,1
Break,90,4,Casual online chat,Gym,Morning,1
Exercise,15,1,Social gathering,Outdoor,Morning,0
Social Interaction,90,4,Discuss project details,Outdoor,Evening,1
Commute,45,4,Daily long commute,Office,Evening,1
Exercise,45,1,Late-night project work,Home,Morning,0
Casual Lunch,15,1,Customer support call,Home,Morning,0
Casual Lunch,120,1,Presentation preparation,Gym,Morning,0
Social Interaction,75,4,Relaxing with family,Gym,Afternoon,1
Break,75,1,Customer support call,Home,Morning,0
Social Interaction,90,4,Went for a long walk,Home,Afternoon,1
Social Interaction,30,4,Presentation preparation,Gym,Morning,0
Meeting,15,5,Relaxing with family,Outdoor,Evening,0
Casual Lunch,60,4,Strategic planning,Home,Evening,1
Break,30,4,Casual online chat,Gym,Morning,0
Social Interaction,120,5,Casual dinner conversation,Gym,Afternoon,1
Exercise,75,5,Outdoor adventure,Office,Morning,1
Commute,60,3,Stressful work deadline,Outdoor,Afternoon,0
Social Interaction,120,4,Casual online chat,Gym,Morning,1
Social Interaction,15,5,Brainstorming new ideas,Office,Evening,0
Break,60,4,Lunch meeting with potential clients,Home,Afternoon,1
Meeting,75,2,Outdoor adventure,Outdoor,Morning,0
Break,15,2,Brainstorming new ideas,Gym,Afternoon,0
Exercise,75,5,Outdoor adventure,Outdoor,Morning,1
Break,20,2,Brainstorming new ideas,Outdoor,Morning,0
Exercise,60,4,Brainstorming new ideas,Office,Morning,1
Exercise,75,2,Stressful work deadline,Home,Afternoon,0
Break,30,2,Solo reflection time,Home,Afternoon,0
Exercise,120,4,Presentation preparation,Gym,Evening,1
Break,20,4,Presentation preparation,Home,Morning,0
Casual Lunch,60,5,Brainstorming new ideas,Outdoor,Morning,1
Casual Lunch,75,1,Customer support call,Gym,Morning,0
Commute,75,4,Social gathering,Gym,Afternoon,1
Casual Lunch,90,5,Relaxing with family,Office,Morning,1
Meeting,45,4,Social gathering,Office,Morning,1
Meeting,12,2,Intense workout session,Office,Evening,0
Casual Lunch,120,2,Gym session with trainer,Outdoor,Afternoon,0
Break,15,4,Relaxing with family,Gym,Evening,0
Break,45,4,Late-night project work,Outdoor,Afternoon,1
Meeting,30,5,Coding session,Gym,Afternoon,0
Commute,120,4,Customer support call,Office,Evening,1
Social Interaction,60,5,Relaxing with family,Gym,Evening,1
Meeting,12,1,Networking with professionals,Outdoor,Evening,0
Commute,90,2,Focused reading session,Outdoor,Morning,0
Break,75,5,Intense workout session,Gym,Afternoon,1
Commute,20,2,Team-building activity,Gym,Afternoon,0
Exercise,15,1,Presentation preparation,Outdoor,Afternoon,0
Social Interaction,45,5,Coding session,Office,Morning,1
Meeting,120,5,Board meeting with executives,Outdoor,Afternoon,1
Social Interaction,60,4,Outdoor adventure,Gym,Afternoon,1
